Folder,Label,Filename,Hue_Mean,Hue_Std,Saturation_Mean,Aspect_Ratio,H_hist_bin_0,H_hist_bin_1,H_hist_bin_2,H_hist_bin_3,H_hist_bin_4,H_hist_bin_5,H_hist_bin_6,H_hist_bin_7,S_hist_bin_0,S_hist_bin_1,S_hist_bin_2,S_hist_bin_3,S_hist_bin_4,S_hist_bin_5,S_hist_bin_6,S_hist_bin_7,V_hist_bin_0,V_hist_bin_1,V_hist_bin_2,V_hist_bin_3,V_hist_bin_4,V_hist_bin_5,V_hist_bin_6,V_hist_bin_7,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,edge_density,dark_pixels_ratio,dark_area_ratio
Class_I,0,IMG_20210703_153149.png,15.317505561735262,11.976885390426828,101.33789627363736,1.710344827586207,0.9999635815620422,0.0079547055065631,0.0030983795877546,2.197432331740856e-05,0.0,0.0,0.0,0.0,0.0740348175168037,0.031956922262907,0.0291722137480974,0.1230072602629661,0.3778944313526153,0.8787769675254822,0.2499131113290786,0.0024774295743554,0.0061908685602247,0.00388575787656,0.011080996133387,0.1344702690839767,0.4863454103469848,0.8631980419158936,0.009944905526936,0.0,58.5363148728666,0.6180973806056366,0.3588899205816711,0.9933078823851998,52.0,11.0,0.9044710591986372,0.0005793807311339,0.0004548317122664,700.9085288337393,298.9620167555757,0.0508378173943126,0.0053575309715279,0.0054662029993479
Extra_Class,2,IMG_20210703_142819.png,14.99710918114144,13.03498838374082,97.587158808933,1.5261538461538462,0.9972859025001526,0.073616124689579,0.0011764373630285,0.0,0.0,0.0,0.0,0.0,0.0720578432083129,0.0483711473643779,0.0373758897185325,0.1263756155967712,0.3641605079174042,0.7497528195381165,0.5294884443283081,1.9955094103352167e-05,0.0078103807754814,0.0042443508282303,0.0044575375504791,0.4359277784824371,0.704620361328125,0.5274235606193542,0.1876235604286193,0.0,54.40257964257964,0.6699999636547223,0.3990764048340179,0.9934471871883152,59.0,18.0,0.8796605353246599,0.000631238832957,0.0005050029529833,682.1423886395721,324.42834182767234,0.049180367873593,0.0056627017402196,0.0056937586053397
Extra_Class,2,IMG_20210703_150359.png,19.71093301572724,15.665810675691564,85.6140798989783,1.7651245551601424,0.5968928933143616,0.8023209571838379,9.703735122457148e-05,0.0,0.0,0.0,0.0,0.0,0.0694421902298927,0.0615520104765892,0.0961441099643707,0.2905822396278381,0.6945294141769409,0.6444579362869263,0.003181871259585,0.0002579895663075,0.0056123794056475,0.0042397864162921,0.0811202377080917,0.9735495448112488,0.2086493521928787,0.0451125502586364,0.0012658355990424,0.0,61.72335454185989,0.6045058218787469,0.3773066882538322,0.9894843861768462,48.0,3.0,0.8433551069320814,0.0005535629850883,0.0004196170993968,629.957512113354,338.5118550176774,0.0672351719728731,0.0060793786551397,0.0061602829338203
Class_I,0,IMG_20210703_152751.png,17.797648514851485,14.550519032895169,102.96639784946235,1.636963696369637,0.9881131052970886,0.1537277847528457,0.0004606355796568,0.0,0.0,0.0,0.0,0.0,0.0766502991318702,0.0348374620079994,0.0290049444884061,0.087349809706211,0.2052021026611328,0.7367295622825623,0.6320792436599731,0.0061083785258233,0.0069927629083395,0.0106003927066922,0.0712785050272941,0.91131591796875,0.4013051390647888,0.0567049495875835,1.5892643205006607e-05,0.0,55.66722005533885,0.5900949804199708,0.3877287286364866,0.9906885961121908,48.0,2.0,0.907435387297923,0.0005421890884445,0.0004328379743182,722.4782591181706,303.579327618224,0.074125483473418,0.0077707783856834,0.0079451577042962
Class_I,0,IMG_20210703_154505.png,13.250684151893829,11.526546626817142,91.75482538990605,1.4894894894894894,0.9999191761016846,0.0126991160213947,0.0006496247369796,0.0001047781843226,0.0,0.0,0.0,0.0,0.0562125332653522,0.0386587716639041,0.0228806342929601,0.0715389773249626,0.3159832656383514,0.9414547681808472,0.0593432411551475,0.0003426643670536,0.0069702379405498,0.0038245250470936,0.0058609605766832,0.0984277129173278,0.7178848385810852,0.683911144733429,0.0843878984451294,0.0,84.46098219431555,0.6127822024855925,0.4117807122480098,0.9906212273597708,32.0,8.0,0.8949840057044701,0.0003349698003789,0.000259327692956,656.9124229204532,293.0474681903592,0.0605072186538992,0.0058315066793498,0.0059555812895487
Class_II,1,IMG_20210703_160555.png,20.182135046473483,16.5562241250427,82.66777610716238,1.6813559322033895,0.1589989960193634,0.9872785210609436,0.0006607683026231,0.0,0.0,0.0,0.0,0.0,0.1060263812541961,0.0465831346809864,0.1158052012324333,0.2614389955997467,0.7337539196014404,0.6048318147659302,0.0246931258589029,0.001091290730983,0.0057736104354262,0.0142406178638339,0.1491539925336837,0.9850954413414,0.07442656904459,0.0395556800067424,0.0,0.0,65.3905290190036,0.574832998053643,0.3929813669448519,0.9879128925588592,48.0,19.0,0.7764243928597011,0.0005549453725648,0.0004326663061114,571.9233300031005,360.43203687973664,0.1175561131896569,0.0082124621571551,0.00859653879174
Class_I,0,IMG_20210703_151742.png,19.343435657301423,16.12499498686222,86.60894323043127,1.7777777777777777,0.5289507508277893,0.8486513495445251,0.0013775191036984,4.97898472531233e-05,0.0,0.0,0.0,0.0,0.0903828665614128,0.0627084970474243,0.0753405764698982,0.17194265127182,0.5279650688171387,0.8199663162231445,0.0395747832953929,0.0002151973021682,0.0070060291327536,0.0085046449676156,0.0516647845506668,0.6251101493835449,0.7735293507575989,0.089991882443428,0.000711842556484,0.0,63.47180768256039,0.622848324654522,0.3972678571176667,0.9912605253260144,38.0,4.0,0.773335900118156,0.0004689100309727,0.0003710067952823,568.3334540061821,360.3214312400324,0.0592189648331164,0.0072571036574358,0.007377453635171
Extra_Class,2,IMG_20210703_144015.png,16.244114593393856,14.442145518673517,105.27805075333204,1.4850299401197604,0.925892174243927,0.3777879178524017,0.0001494360476499,0.0,0.0,0.0,0.0,0.0,0.0447594635188579,0.0496289022266864,0.0192809998989105,0.0281181242316961,0.1082752794027328,0.4123772978782654,0.9013867378234864,0.009722476825118,0.0083731738850474,0.0044118743389844,0.1568186581134796,0.6777765154838562,0.6510800123214722,0.3033680021762848,0.0,0.0,49.02559729026795,0.6497081395039147,0.4186373640090789,0.9926813819966708,32.0,3.0,0.8241832875974952,0.0003566135089654,0.0002948113207547,628.9268287059937,356.17582176338374,0.0486312163676045,0.0059703047668663,0.0060328210471476
Class_I,0,IMG_20210703_152756.png,18.51810117302053,14.768754493784572,102.73720674486805,1.803636363636364,0.9547128677368164,0.2975279986858368,0.0007081892108544,2.9507884391932748e-05,0.0,0.0,0.0,0.0,0.0852744728326797,0.0356100909411907,0.0316387042403221,0.1138684526085853,0.2696570754051208,0.7502830028533936,0.584676206111908,0.0027137801516801,0.0069418996572494,0.0132660185918211,0.0527389273047447,0.9500973224639891,0.3020295202732086,0.0555677115917205,1.62573760462692e-05,0.0,57.281212121212114,0.5903674348207495,0.3755572360433103,0.990264618300899,39.0,1.0,0.8564340661816158,0.0004761207149135,0.0003818139097744,628.8836451269625,324.6652186769989,0.0762129312921329,0.0078068884309685,0.0080659405357668
Class_II,1,IMG_20210703_161230.png,14.86091328026812,14.806763695518272,78.72663777754504,1.6103896103896105,0.9201975464820862,0.3914533853530884,0.0009266515844501,0.0,0.0,0.0,0.0,0.0,0.0622676350176334,0.0599416680634021,0.0945110917091369,0.1847330033779144,0.3319944739341736,0.9129101037979126,0.0764581710100174,8.535659435437992e-05,0.0087411645799875,0.0619235858321189,0.040091685950756,0.3342234492301941,0.8520744442939758,0.3958949148654938,0.0035721105523407,0.0,61.0114653023744,0.6609032828159821,0.4691439740016505,0.9926496502991098,36.0,1.0,0.8316033688628802,0.0004653086547409,0.0003863324175824,579.7455200836217,321.97326948670536,0.087890433140634,0.023334448036265,0.0251551294913238
